fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno
KC155,155,Kaga/Cab_F2,25587,57.5796091954023,0.172258094763518,334.263590192668,5.7375954088684e-52,56.95,0.58,0.11,56.73,0.3,5_1_21,AU,NA
KC156,156,Kaga/Cab_F2,27793,56.6788735632184,0.269476953679917,210.329205482043,2.45351961086222e-46,58.22,1.13,0.21,58.39,2.11,5_1_21,AU,0
KC157,157,Kaga/Cab_F2,25748,56.933448275862,0.0920030372441815,618.821399610507,1.86396553996159e-59,60.29,1.92,0.36,60.05,3.47,5_1_21,AU,-1
KC158,158,Kaga/Cab_F2,25511,63.5980689655172,0.284955113660682,223.186270105854,4.66342005305764e-47,65.19,1.17,0.22,65.63,1.21,5_1_21,AU,NA
KC159,159,Kaga/Cab_F2,23238,55.8279770114942,0.391425241685527,142.627431923122,1.28506950207815e-41,57.66,1.46,0.27,57.19,0.53,5_1_21,AU,0
KC160,160,Kaga/Cab_F2,25113,57.0827816091954,0.392246312627943,145.527898597074,7.31873409042729e-42,59.19,1.58,0.29,58.69,2.04,5_1_21,AU,NA
KC161,161,Kaga/Cab_F2,25875,57.9624137931034,0.149568565158776,387.530720319292,9.14174651877118e-54,58.01,0.39,0.07,58.09,0.6,5_1_21,AU,0
KC162,162,Kaga/Cab_F2,23897,62.199908045977,0.223313234005412,278.532118004567,9.46385117092509e-50,63.78,1.07,0.2,64.12,2.04,5_1_21,DB,0
KC163,163,Kaga/Cab_F2,21074,58.3173333333333,0.182879264631444,318.884338532638,2.14461429420346e-51,62.08,2.19,0.41,62.16,4.67,5_1_21,DB,0
KC164,164,Kaga/Cab_F2,25974,62.2010804597701,0.134036502046159,464.060755915201,5.88622606373464e-56,62.76,0.47,0.09,62.61,0.83,5_1_21,DB,0
KC165,165,Kaga/Cab_F2,27043,58.7161149425287,0.128159678646122,458.148113063371,8.42844454767445e-56,58.95,0.36,0.07,58.99,0.61,5_1_21,DB,0
KC166,166,Kaga/Cab_F2,24552,58.6354942528736,0.468634022114943,125.120011535338,5.00085345801883e-40,62.47,2.5,0.46,61.11,3.09,5_1_21,DB,NA
KC167,167,Kaga/Cab_F2,23525,58.6592413793104,0.298213185005785,196.702373767184,1.59873347532571e-45,61.82,1.96,0.36,61.26,2.33,5_1_21,DB,-1
KC168,168,Kaga/Cab_F2,28249,59.9721149425288,0.154352765136558,388.539297559525,8.50017824781179e-54,62.05,1.25,0.23,61.56,2.65,6_1_21,AU,-1
KC169,169,Kaga/Cab_F2,27510,63.889724137931,0.111846788743418,571.22537764135,1.75219538894303e-58,67.55,2.1,0.39,67.89,3.77,6_1_21,AU,0
KC170,170,Kaga/Cab_F2,22480,62.3600919540229,0.112206136563075,555.76364951277,3.77780939650692e-58,64,0.98,0.18,64.27,2.04,6_1_21,AU,-1
KC171,171,Kaga/Cab_F2,24609,64.7596551724138,0.225017775642816,287.797952794674,3.78664440907796e-50,66,0.92,0.17,66.23,1.5,6_1_21,AU,-1
KC172,172,Kaga/Cab_F2,NA,56.5147126436782,0.199449288746376,283.353793833496,5.85375376903451e-50,62.47,3.42,0.64,63.22,5.88,6_1_21,AU,0
KC173,173,Kaga/Cab_F2,26103,59.5471264367816,0.103699841134343,574.22582122993,1.51314837352289e-58,62.91,1.93,0.36,62.76,3.16,6_1_21,AU,NA
KC174,174,Kaga/Cab_F2,23565,61.8426896551724,0.215884902636849,286.46139169445,4.31360948666718e-50,68.57,3.86,0.72,69.25,7,6_1_21,AU,-1
KC175,175,Kaga/Cab_F2,30001,58.7697701149425,0.148461407335628,395.858904813431,5.04097866448705e-54,61.12,1.39,0.26,60.95,1.81,6_1_21,AU,0
KC176,176,Kaga/Cab_F2,28381,57.6036781609195,0.32378430225609,177.907569204387,2.65494536322521e-44,57.92,0.87,0.16,57.64,1.2,6_1_21,AU,-1
KC177,177,Kaga/Cab_F2,29312,55.525816091954,0.353595612463174,157.031971367396,8.71686604064439e-43,59.35,2.36,0.44,58.84,2.93,6_1_21,DB,NA
KC178,178,Kaga/Cab_F2,24620,65.6781379310345,0.189420456350385,346.732022488345,2.05824608158052e-52,68.25,1.54,0.29,67.59,2.64,6_1_21,DB,NA
KC179,179,Kaga/Cab_F2,24393,63.2786436781609,0.184876805648485,342.274648548805,2.9566476441876e-52,68.28,2.88,0.54,68.49,5.58,6_1_21,DB,0
KC180,180,Kaga/Cab_F2,22778,63.0932183908046,0.201903054661764,312.492639086125,3.78004950009872e-51,66.03,1.75,0.33,66.68,3.24,6_1_21,DB,0
KC181,181,Kaga/Cab_F2,26392,66.6880459770115,0.161943414514024,411.798443160752,1.66937800450508e-54,67.64,0.69,0.13,67.44,1.2,6_1_21,DB,0
KC182,182,Kaga/Cab_F2,26715,65.3442528735632,0.344413843342943,189.725976863532,4.39112957489941e-45,70.91,3.29,0.61,71.96,5.28,6_1_21,DB,0
KC183,183,Kaga/Cab_F2,32151,66.9425287356322,0.211464281759781,316.566600177317,2.63046279647604e-51,63.45,2.06,0.38,63.67,4.45,6_1_21,DB,0
KC184,184,Kaga/Cab_F2,26141,64.2042528735632,0.558154084446655,115.029621143441,5.24325695203638e-39,68.51,2.85,0.53,70.15,4.37,6_1_21,AU,0
KC185,185,Kaga/Cab_F2,23721,60.3704137931034,0.305382526777457,197.687845569165,1.39010641701999e-45,64.83,2.65,0.49,65.78,4.98,7_1_21,AU,-1
KC186,186,Kaga/Cab_F2,21691,59.7774942528736,0.280490755478887,213.117520222064,1.69721998705534e-46,63.02,1.99,0.37,63.97,3.23,7_1_21,AU,-1
KC187,187,Kaga/Cab_F2,29457,62.3368735632184,0.138593303939944,449.782722477204,1.41190584697661e-55,65.65,1.92,0.36,66.08,3.54,7_1_21,AU,-1
KC188,188,Kaga/Cab_F2,23987,57.7886896551725,0.153701773052493,375.979330020066,2.13275744081551e-53,59.79,1.21,0.22,60.05,2.11,7_1_21,AU,0
KC189,189,Kaga/Cab_F2,25746,61.6504827586207,0.0691276310114106,891.835606928933,6.7067969270379e-64,64.82,1.81,0.34,64.72,2.56,7_1_21,AU,NA
KC190,190,Kaga/Cab_F2,20314,56.5349655172414,0.19382259939011,291.684074484279,2.60139680931807e-50,60.66,2.4,0.45,60.05,4.75,7_1_21,AU,0
KC191,191,Kaga/Cab_F2,21078,60.4360000000001,0.133179357037605,453.794051452998,1.10116200572911e-55,62.19,1.06,0.2,62.61,1.81,7_1_21,AU,0
KC192,192,Kaga/Cab_F2,26329,58.3154022988505,0.406211337063529,143.559268238076,1.07113029120959e-41,69.81,6.61,1.23,71.2,12.36,7_1_21,DB,0
KC193,193,Kaga/Cab_F2,22935,59.9597011494253,0.119143987378108,503.254108485901,6.08137396677803e-57,63.07,1.79,0.33,62.61,2.93,7_1_21,DB,0
KC194,194,Kaga/Cab_F2,26801,66.0809655172414,0.337390784273972,195.858833724342,1.80301612494534e-45,68.32,1.55,0.29,67.89,2.87,7_1_21,DB,-1
KC195,195,Kaga/Cab_F2,26899,62.0865057471264,0.347185207612579,178.828200009052,2.29797191573739e-44,66.31,2.57,0.48,65.63,4.97,7_1_21,DB,-1
KC196,196,Kaga/Cab_F2,21235,65.5948275862069,0.252717288013164,259.55813352504,6.81843102398069e-49,70,2.59,0.48,69.55,2.87,7_1_21,DB,0
KC197,197,Kaga/Cab_F2,26874,60.6494022988505,0.0602696964617068,1006.30011198721,2.28120112739094e-65,63.63,1.7,0.32,63.37,2.94,7_1_21,DB,0
KC198,198,Kaga/Cab_F2,25051,64.5021839080459,0.608279011868088,106.040456187947,5.09184302530266e-38,75.15,6.25,1.16,75.72,13.34,7_1_21,DB,-1
KC199,199,Kaga/Cab_F2,25178,60.5474022988506,0.0926813582175432,653.285660280601,4.08717821231586e-60,62.24,0.99,0.18,62.31,1.73,7_1_21,DB,-1
KC200,200,Kaga/Cab_F2,28889,51.9585057471264,0.480010123770972,108.244603965723,2.86610977246478e-38,54.44,1.89,0.35,54.32,3.55,8_1_21,AU,0
KC201,201,Kaga/Cab_F2,28596,63.208183908046,0.263472333042584,239.904445290769,6.1768312063351e-48,66.12,1.79,0.33,65.18,2.26,8_1_21,AU,-1
KC202,202,Kaga/Cab_F2,NA,58.996551724138,0.242470560061116,243.31428817283,4.1612555387954e-48,57.35,1.13,0.21,57.49,0.83,8_1_21,AU,-1
KC203,203,Kaga/Cab_F2,20280,54.4482068965517,0.408318708754254,133.347323375577,8.43118117993298e-41,58.57,2.58,0.48,59.9,4.29,8_1_21,AU,-1
KC204,204,Kaga/Cab_F2,31606,58.0033333333333,0.254156317920574,228.219128321885,2.49850753114723e-47,59.75,1.19,0.22,59.14,1.73,8_1_21,AU,0
KC205,205,Kaga/Cab_F2,23121,58.018091954023,0.197660592830472,293.523818396029,2.18158989208893e-50,59.17,0.83,0.15,59.3,1.43,8_1_21,AU,-1
KC206,206,Kaga/Cab_F2,21155,56.001632183908,0.254933819099057,219.671255786382,7.27171392313053e-47,59.65,2.18,0.4,58.84,3.54,8_1_21,AU,-1
KC207,207,Kaga/Cab_F2,25693,59.0001609195402,0.12623861329077599,467.370160219048,4.82431727436932e-56,61.24,1.31,0.24,61.71,2.03,8_1_21,AU,-1
KC208,208,Kaga/Cab_F2,24226,57.7209425287356,0.134767137169334,428.301318415703,5.55668932419753e-55,59.7,1.18,0.22,59.3,1.73,8_1_21,AU,0
KC209,209,Kaga/Cab_F2,26461,57.9489425287356,0.112753902151988,513.941792015525,3.37663020429417e-57,62.15,2.4,0.45,61.56,4.07,8_1_21,AU,-1
KC210,210,Kaga/Cab_F2,15986,58.2349195402299,0.322760331803413,180.42774716101,1.7912263920753e-44,60.18,1.39,0.26,60.8,1.43,9_1_21,AU,-1
KC211,211,Kaga/Cab_F2,20483,64.828344827586207,0.275145435525626,235.614829312872,1.02343343973804e-47,67.03,1.45,0.27,66.23,1.13,9_1_21,AU,NA
KC212,212,Kaga/Cab_F2,21846,57.8816781609196,0.192975417178452,299.943272605516,1.19061736426443e-50,61.08,1.88,0.35,61.56,2.56,9_1_21,AU,0
KC213,213,Kaga/Cab_F2,23146,56.3390804597701,0.170902519785031,329.656230526244,8.46187206787009e-52,62.72,3.65,0.68,62.46,5.58,9_1_21,AU,-1
KC214,214,Kaga/Cab_F2,24100,56.5718620689655,0.106803568946756,529.681382624655,1.4511032077786e-57,59.33,1.59,0.3,59.14,3.16,9_1_21,AU,0
KC215,215,Kaga/Cab_F2,27399,69.2805287356322,0.319040885848238,217.152508686889,1.00413463887333e-46,67.18,1.46,0.27,66.53,2.63,9_1_21,AU,-1
KC216,216,Kaga/Cab_F2,24640,58.6171264367816,0.170947452418845,342.895583451934,2.81037467802507e-52,60.92,1.39,0.26,60.2,1.73,9_1_21,AU,0
KC217,217,Kaga/Cab_F2,24994,60.2837011494252,0.149135279440487,404.221599178897,2.80765109407091e-54,62.87,1.52,0.28,63.37,2.94,9_1_21,AU,NA
KC218,218,Kaga/Cab_F2,22974,62.9197011494253,0.0917830705518064,685.52621710243,1.06089544476739e-60,65.83,1.67,0.31,65.48,2.87,9_1_21,AU,-1
KC219,219,Kaga/Cab_F2,20000,56.9705747126437,0.211217905909092,269.724171667358,2.32636968871526e-49,61.02,2.36,0.44,61.56,4.38,9_1_21,AU,0
KC220,220,Kaga/Cab_F2,26666,62.8030114942529,0.493504934960737,127.259135715126,3.11352620951705e-40,65,1.8,0.33,65.03,3.77,9_1_21,DB,-1
KC221,221,Kaga/Cab_F2,28194,56.4252873563219,0.140393369663206,401.908491061096,3.29698425937436e-54,61.3,2.79,0.52,61.86,4.45,9_1_21,DB,-1
KC222,222,Kaga/Cab_F2,23828,60.595908045977,0.130157774887341,465.557344526103,5.37883649772004e-56,62.49,1.13,0.21,62.31,1.13,9_1_21,DB,0
KC223,223,Kaga/Cab_F2,25676,63.5737241379311,0.145090729214117,438.165308578142,2.93748631991564e-55,65.15,0.97,0.18,65.33,0.76,9_1_21,DB,0
KC224,224,Kaga/Cab_F2,23274,62.7115632183908,0.15564100855165,402.924420767807,3.07200954404317e-54,65.59,1.68,0.31,65.78,3.62,9_1_21,DB,0
KC225,225,Kaga/Cab_F2,30325,59.1454482758621,0.18343225065385,322.437565177531,1.57266513269929e-51,61.58,1.46,0.27,62.16,2.63,9_1_21,DB,-1
KC226,226,Kaga/Cab_F2,22120,61.9610114942528,0.382005107594027,162.199432056027,3.52422376874447e-43,62.23,1.01,0.19,62.16,1.43,9_1_21,DB,0
KC227,227,Kaga/Cab_F2,26886,54.9131954022988,0.67064810282854,81.8807884055674,6.93593657130182e-35,59.83,3.3,0.61,58.54,3.54,10_1_21,AU,NA
KC228,228,Kaga/Cab_F2,23144,51.1563678160919,0.812879915888983,62.9322570482582,1.05885655840292e-31,57.98,4.42,0.82,56.88,3.69,10_1_21,AU,-1
KC229,229,Kaga/Cab_F2,22606,55.9193333333333,0.136151313684,410.714607301691,1.79720242776167e-54,57.14,0.78,0.14,57.03,1.21,10_1_21,AU,-1
KC230,230,Kaga/Cab_F2,27809,59.1960459770115,0.149662877438024,395.529252078724,5.15992999298209e-54,64.01,2.76,0.51,63.67,5.05,10_1_21,AU,-1
KC231,231,Kaga/Cab_F2,21789,57.5505287356322,0.131966606204449,436.099179867309,3.35307960485706e-55,59.73,1.28,0.24,59.75,2.64,10_1_21,AU,0
KC232,232,Kaga/Cab_F2,21744,66.1975172413793,0.123994353954524,533.87525423663806,1.16360388865785e-57,69.08,1.67,0.31,69.55,2.56,10_1_21,DB,0
KC233,233,Kaga/Cab_F2,23188,61.3907356321839,0.220516458347826,278.395254903609,9.59494519858404e-50,63.54,1.35,0.25,63.06,2.64,10_1_21,DB,0
KC234,234,Kaga/Cab_F2,26621,64.6055172413793,0.207196803498898,311.807499683377,4.01957980673269e-51,64.71,0.55,0.1,64.72,0.91,10_1_21,DB,-1
KC235,235,Kaga/Cab_F2,28374,67.1928735632184,0.116101303885806,578.743487922473,1.21504980985919e-58,70.07,1.66,0.31,70.3,2.94,10_1_21,DB,-1
KC236,236,Kaga/Cab_F2,28935,67.3328965517242,0.164588529771496,409.098353604621,2.00695188126936e-54,68.24,0.67,0.12,68.04,1.2,10_1_21,DB,0
KC237,237,Kaga/Cab_F2,26388,63.515908045977,0.0879329743143037,722.321842758879,2.4542586268131e-61,66.31,1.6,0.3,66.38,2.63,10_1_21,DB,0
KC238,238,Kaga/Cab_F2,26166,62.9113103448276,0.165097401346189,381.055727297065,1.46516185613545e-53,66.61,2.15,0.4,66.08,3.84,10_1_21,DB,0
KC239,239,Kaga/Cab_F2,25417,64.5901379310345,0.216409618799334,298.462417194707,1.3675376268897e-50,67.28,1.63,0.3,66.83,1.66,10_1_21,DB,NA
KC240,240,Kaga/Cab_F2,27468,65.9406206896552,0.184033273158984,358.308144814063,8.20782196989896e-53,67.33,0.92,0.17,66.83,1.44,10_1_21,DB,-1
KC241,241,Kaga/Cab_F2,25107,60.2488735632184,0.513576784615735,117.312299480782,3.02782957537604e-39,66.16,3.62,0.67,64.12,5.8,10_1_21,DB,1
KC242,242,Kaga/Cab_F2,23636,60.5278620689656,0.170472136609657,355.06014808485,1.05910102353045e-52,61.08,0.55,0.1,61.11,0.3,12_1_21,AU,0
KC243,243,Kaga/Cab_F2,21616,58.7184367816092,0.0592723915281727,990.654084772332,3.53762686544182e-65,60.35,0.94,0.17,60.35,1.73,12_1_21,AU,-1
KC244,244,Kaga/Cab_F2,19445,54.0851954022989,0.140902534987848,383.848277867843,1.19429371689233e-53,57.63,2.05,0.38,57.64,4.07,12_1_21,AU,-1
KC245,245,Kaga/Cab_F2,26459,58.7527816091954,0.630458373480238,93.1905801883001,1.87655340501876e-36,61.69,2.35,0.44,61.11,1.13,12_1_21,AU,0
KC246,246,Kaga/Cab_F2,29771,49.8332873563219,0.335818783957045,148.393388747117,4.24248725917026e-42,56.78,4.04,0.75,56.88,5.73,12_1_21,AU,NA
KC247,247,Kaga/Cab_F2,28513,58.8345287356322,0.257823961681631,228.196511883107,2.50544672685405e-47,60.63,1.23,0.23,59.9,1.43,12_1_21,AU,-1
KC248,248,Kaga/Cab_F2,25430,54.2436091954023,0.357947453504657,151.540704269032,2.35892648264344e-42,57.43,2.04,0.38,58.69,2.79,12_1_21,AU,-1
KC249,249,Kaga/Cab_F2,25139,55.1137011494253,0.127653526751859,431.744445702301,4.44083486653183e-55,56.64,0.93,0.17,56.28,1.74,12_1_21,AU,-1
KC250,250,Kaga/Cab_F2,31378,55.9115172413793,0.343814511841777,162.621167273794,3.27732105398486e-43,59.67,2.32,0.43,58.54,4.07,12_1_21,AU,0
KC251,251,Kaga/Cab_F2,26974,55.7510344827586,0.0822402391383843,677.904576480465,1.45083739863465e-60,55.81,0.22,0.04,55.68,0.3,13_1_21,AU,0
KC252,252,Kaga/Cab_F2,27960,60.3992413793103,0.877811509245182,68.8066182126579,8.8387801053373e-33,65.63,3.76,0.7,63.82,3.69,13_1_21,AU,-1
KC253,253,Kaga/Cab_F2,26317,58.812091954023,0.276346139560486,212.82038550479,1.76479401037076e-46,64.25,3.17,0.59,63.37,4.59,13_1_21,AU,0
KC254,254,Kaga/Cab_F2,25275,55.998321839080504,0.161106416404471,347.585919225538,1.92129387779181e-52,59.7,2.14,0.4,59.14,4.07,13_1_21,AU,0
KC255,255,Kaga/Cab_F2,24054,59.7354712643678,0.0669587630741525,892.123278893529,6.6465074168529193e-64,66.45,3.82,0.71,66.53,6.48,13_1_21,AU,0
KC256,256,Kaga/Cab_F2,24659,66.4383218390804,0.422476721649693,157.259130348416,8.37146729564336e-43,68.35,1.55,0.29,68.64,2.56,13_1_21,AU,-1
KC257,257,Kaga/Cab_F2,26474,55.7831724137931,0.759842370634597,73.4141376812202,1.45348186740618e-33,64.21,5.19,0.96,61.86,7.01,13_1_21,AU,NA
KC258,258,Kaga/Cab_F2,24762,57.4879310344827,0.210283172276504,273.383411578417,1.59541884183271e-49,58.71,0.89,0.16,58.69,1.73,13_1_21,AU,NA
KC259,259,Kaga/Cab_F2,26428,55.9065057471264,1.03994414231717,53.7591428925762,8.42095801647403e-30,70.31,8.62,1.6,74.07,15,20_1_21,AU,-1
KC260,260,Kaga/Cab_F2,30675,68.7483000000001,0.43798944501722,156.963371565489,2.33556498844855e-36,65.48,2.12,0.43,64.42,2.71,20_1_21,AU,0
KC261,261,Kaga/Cab_F2,27135,54.5748045977012,0.126891059526055,430.091803169907,4.94418194439463e-55,59.55,2.84,0.53,59.9,5.28,20_1_21,AU,-1
KC262,262,Kaga/Cab_F2,24343,58.7856781609195,0.442838220943652,132.747525802204,9.56367960223391e-41,64.18,3.28,0.61,62.76,4.6,20_1_21,AU,-1
KC263,263,Kaga/Cab_F2,25319,59.1393793103449,0.403172070170085,146.685208837497,5.8645691847002e-42,59.91,1.14,0.21,59.9,2.03,20_1_21,AU,0
KC264,264,Kaga/Cab_F2,28829,50.8051494252873,0.203981840618868,249.067021216927,2.16366522599518e-48,56.29,3.16,0.59,55.53,5.88,20_1_21,AU,-1
KC265,265,Kaga/Cab_F2,25455,57.533632183908,0.720101927356236,79.8965118662237,1.37465428421081e-34,68.34,6.42,1.19,66.08,11.69,20_1_21,AU,0
KC266,266,Kaga/Cab_F2,NA,57.5234022988506,0.370981980148804,155.057133167971,1.2419005090922e-42,63.04,3.28,0.61,61.86,6.18,20_1_21,AU,0
KC267,267,Kaga/Cab_F2,24297,54.6293103448276,0.188539497397887,289.749952125628,3.13388000817724e-50,63.48,5.05,0.94,64.12,9.05,20_1_21,AU,-1
KC268,268,Kaga/Cab_F2,27543,67.4540229885058,0.697697298281896,96.6809290427433,6.72316740704235e-37,75.91,5.14,0.95,74.07,7.61,20_1_21,AU,0
KC269,269,Kaga/Cab_F2,29249,58.1469885057471,0.166379255255326,349.484606217973,1.64954443527054e-52,62.77,2.66,0.49,63.22,4.15,21_1_21,AU,-1
KC270,270,Kaga/Cab_F2,23449,54.4662298850575,0.135887093600161,400.819742641056,3.55711151467018e-54,57.93,2,0.37,58.24,2.95,21_1_21,AU,0
KC271,271,Kaga/Cab_F2,25143,56.3353333333333,0.188177858900838,299.372804337303,1.25578438462715e-50,58.37,1.26,0.23,58.09,0.9,21_1_21,AU,-1
KC272,272,Kaga/Cab_F2,26074,54.3969425287357,0.129261593540981,420.828345362225,9.09552821293149e-55,56.24,1.1,0.2,55.83,1.2,21_1_21,AU,-1
KC273,273,Kaga/Cab_F2,24603,53.4450344827586,0.0598786028671501,892.556471321394,6.55677711381457e-64,56.57,1.78,0.33,56.73,2.86,21_1_21,AU,0
KC274,274,Kaga/Cab_F2,28975,63.2754942528736,0.541719642104165,116.804873471261,3.41774673924437e-39,69.8,3.97,0.74,71.36,6.41,21_1_21,AU,-1
KC275,275,Kaga/Cab_F2,24404,54.9975172413793,0.182077832787951,302.054986042314,9.78329065183655e-51,58.79,2.21,0.41,57.94,3.53,21_1_21,AU,-1
KC276,276,Kaga/Cab_F2,28042,57.1737701149425,0.230715652694646,247.810538414628,2.49266467968128e-48,61.87,2.73,0.51,62.46,5.5,21_1_21,AU,-1
