fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno
KC524,524,Kaga/Cab_F2,25731,58.2894252873563,0.0538256245174936,1082.93077525579,2.92238121046461e-66,60.09,1.03,0.19,60.05,1.73,18_4_21,DB,0
KC525,525,Kaga/Cab_F2,27353,62.2778390804598,0.11631140711917,535.440509430443,1.07203356711413e-57,65.39,1.79,0.33,65.33,2.94,18_4_21,DB,0
KC526,526,Kaga/Cab_F2,21890,62.2749425287357,0.218641111392679,284.82723185984,5.06274705421413e-50,61.95,0.6,0.11,62.01,1.2,18_4_21,DB,-1
KC527,527,Kaga/Cab_F2,21781,61.6577011494253,0.0505942968019245,1218.66900118829,1.07098766795059e-67,62.32,0.4,0.07,62.31,0.6,18_4_21,DB,0
KC528,528,Kaga/Cab_F2,22951,65.3616321839081,0.178832743373006,365.490295295521,4.70913407728283e-53,65.33,0.47,0.09,65.33,0.6,18_4_21,DB,0
KC529,529,Kaga/Cab_F2,19238,60.4437931034483,0.33304877738221,181.486308337599,1.52080700988425e-44,62.7,1.55,0.29,62.16,2.64,18_4_21,DB,0
KC530,530,Kaga/Cab_F2,28251,60.056091954023,0.223755458555243,268.400567037767,2.66978732124796e-49,63.33,1.95,0.36,63.06,3.92,18_4_21,DB,0
KC531,531,Kaga/Cab_F2,21593,67.7449425287356,0.235355423409574,287.841008918853,3.77082185849709e-50,66.23,1.06,0.2,66.08,1.73,18_4_21,DB,-1
KC532,532,Kaga/Cab_F2,24400,61.4641609195402,0.228793156511644,268.645102225389,2.60259668831495e-49,69.49,4.6,0.85,69.09,8.81,19_4_21,AU,0
KC533,533,Kaga/Cab_F2,20532,58.7679540229885,0.165339302785325,355.438501511599,1.02799040400822e-52,62.47,2.15,0.4,62.91,2.64,19_4_21,AU,-1
KC534,534,Kaga/Cab_F2,19481,60.0750574712644,0.14188114473407001,423.418189808547,7.66006599490292e-55,62.83,1.61,0.3,62.76,3.46,19_4_21,AU,-1
KC535,535,Kaga/Cab_F2,17457,50.7542988505747,0.605055894226805,83.8836532869961,3.53500151039412e-35,57.7,4.25,0.79,59.3,8.29,19_4_21,AU,-1
KC536,536,Kaga/Cab_F2,16029,57.5657471264368,0.150004924947855,383.759047554257,1.20209213946702e-53,59.89,1.38,0.26,59.9,1.13,19_4_21,AU,-1
KC537,537,Kaga/Cab_F2,21967,66.6306436781609,0.158040292239903,421.605419313047,8.63769258014307e-55,71.85,2.99,0.56,72.26,5.19,19_4_21,AU,0
KC538,538,Kaga/Cab_F2,23246,63.4183218390804,0.0766015160716068,827.899042883136,5.38381252828751e-63,64.55,0.68,0.13,64.72,1.21,19_4_21,AU,-1
KC539,539,Kaga/Cab_F2,22327,55.3999770114942,0.148941383109986,371.958255353276,2.88183862441265e-53,57.28,1.13,0.21,56.88,1.73,20_4_21,AU,-1
KC540,540,Kaga/Cab_F2,NA,54.5711954022989,0.335128734417264,162.836515636863,3.15822502080446e-43,59.89,3.15,0.58,61.1,5.58,20_4_21,AU,-1
KC541,541,Kaga/Cab_F2,20272,54.8970574712644,0.294748633820037,186.250422130141,7.36598891598878e-45,56.01,1,0.19,55.83,0.3,20_4_21,AU,0
KC542,542,Kaga/Cab_F2,21503,58.0038620689656,0.398963092251512,145.38653623729,7.52036268083001e-42,60.47,1.75,0.32,59.9,3.54,20_4_21,AU,0
KC543,543,Kaga/Cab_F2,19898,60.8283908045977,0.115953787757591,524.591666912712,1.90151542189172e-57,62.28,0.88,0.16,62.61,1.12,20_4_21,AU,-1
KC544,544,Kaga/Cab_F2,21869,56.7593563218391,0.0755720296262407,751.063013691122,8.23126210884743e-62,58.23,0.86,0.16,57.94,1.2,20_4_21,AU,-1
KC545,545,Kaga/Cab_F2,18924,54.8110574712644,0.258280251430882,212.215441047502,1.91112084937439e-46,56.02,0.96,0.18,55.98,0.9,20_4_21,AU,0
KC546,546,Kaga/Cab_F2,25758,57.6676321839081,0.081217987547246,710.035226499078,3.96764842627484e-61,58.97,0.77,0.14,58.99,1.73,20_4_21,AU,0
KC547,547,Kaga/Cab_F2,22780,56.614275862069,0.203286261540291,278.495336738967,9.49889870043867e-50,58.56,1.23,0.23,58.84,0.82,14_7_21,AU,-1
KC548,548,Kaga/Cab_F2,23204,57.3229195402299,0.255665349645441,224.21074901126,4.10245566502049e-47,59.34,1.33,0.25,58.89,2.51,14_7_21,AU,-1
KC549,549,Kaga/Cab_F2,21963,57.877816091954,0.0418301163163569,1383.63985541494,3.06171630136135e-69,58.85,0.56,0.1,58.89,0.76,14_7_21,AU,-1
KC550,550,Kaga/Cab_F2,20640,52.9965287356322,0.282139206107096,187.838228748384,5.80875074935785e-45,55.97,1.84,0.34,54.92,2.34,14_7_21,AU,-1
KC551,551,Kaga/Cab_F2,21472,55.1142068965517,0.382941870520555,143.923167298556,9.97923754537098e-42,55.16,1.01,0.19,54.77,1.44,14_7_21,AU,0
KC552,552,Kaga/Cab_F2,22365,52.822,0.140973775886078,374.693801510191,2.34737444319841e-53,55.69,1.67,0.31,55.68,2.27,14_7_21,AU,-1
KC553,553,Kaga/Cab_F2,28077,56.8926666666667,0.0603535408065054,942.656651232206,1.4210601746883e-64,59.45,1.46,0.27,59.45,2.63,14_7_21,AU,-1
KC554,554,Kaga/Cab_F2,24877,56.2111494252873,0.651140873352967,86.3271708560318,1.58681042187743e-35,57,1.77,0.33,57.64,3.23,14_7_21,AU,-1
KC555,555,Kaga/Cab_F2,22763,55.9794712643678,0.068467543154281,817.605958756644,7.64217814099199e-63,57.03,0.62,0.12,56.78,1.21,14_7_21,AU,-1
KC556,556,Kaga/Cab_F2,23698,58.8902528735632,0.500975423456917,117.551181387699,2.86050865640056e-39,62.61,2.49,0.46,61.41,3.99,15_7_21,AU,-1
KC557,557,Kaga/Cab_F2,21168,55.8099540229885,0.0472298210603173,1181.66769998373,2.53926843607107e-67,59.51,2.1,0.39,59.45,3.54,15_7_21,AU,-1
KC558,558,Kaga/Cab_F2,22849,56.6686896551724,0.138472211589954,409.242323817148,1.98727954005588e-54,59.84,1.84,0.34,59.45,3.24,15_7_21,AU,-1
KC559,559,Kaga/Cab_F2,23146,57.1295172413793,0.265742654105094,214.980607587317,1.3303225082733e-46,61.72,2.7,0.5,62.61,5.05,15_7_21,AU,-1
KC560,560,Kaga/Cab_F2,24475,54.5355632183908,0.0651555235286769,837.005986060231,3.96334600181866e-63,57.61,1.75,0.33,57.49,2.94,15_7_21,AU,0
KC561,561,Kaga/Cab_F2,24117,58.8758620689655,0.0550180036756185,1070.11992685327,4.07797292786376e-66,61.19,1.32,0.25,61.11,2.03,15_7_21,AU,-1
KC562,562,Kaga/Cab_F2,21243,54.3648965517241,0.556086716535033,97.7633432614087,4.92690344566987e-37,55.66,1.63,0.3,55.38,2.56,15_7_21,AU,-1
KC563,563,Kaga/Cab_F2,21421,66.1959310344828,0.509093858535137,130.026968356983,1.70621882372369e-40,63.26,2.14,0.4,63.97,3.99,15_7_21,AU,-1
KC564,564,Kaga/Cab_F2,23309,48.1204137931034,0.511055736190777,94.1588370610521,1.40622058750343e-36,53.94,3.57,0.66,55.53,5.35,15_7_21,AU,-1
KC565,565,Kaga/Cab_F2,26767,57.9104597701149,0.0449927405973488,1287.10674213803,2.31947402769775e-68,61.59,2.09,0.39,61.71,3.25,15_7_21,AU,-1
KC566,566,Kaga/Cab_F2,21777,61.5794712643678,0.0925011844217788,665.715489475066,2.41125319650095e-60,63.11,0.9,0.17,63.22,0.91,15_7_21,DB,0
KC567,567,Kaga/Cab_F2,22970,64.8354252873563,0.104843125946616,618.404160520447,1.89949907119117e-59,67.51,1.54,0.29,67.29,2.63,15_7_21,DB,-1
KC568,568,Kaga/Cab_F2,20942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC569,569,Kaga/Cab_F2,21635,63.1860923076923,0.205872542310541,306.918502091365,1.20231012549586e-44,64.03,0.69,0.14,63.82,0.82,15_7_21,DB,-1
KC570,570,Kaga/Cab_F2,19293,67.8802068965517,0.110068104669568,616.710963637765,2.05105477922717e-59,70.27,1.39,0.26,70.45,1.73,15_7_21,DB,0
KC571,571,Kaga/Cab_F2,23483,66.5717471264368,0.0629809665252052,1057.01374239461,5.75826494089465e-66,67.21,0.4,0.07,67.14,0.83,15_7_21,DB,-1
KC572,572,Kaga/Cab_F2,21281,64.1602298850575,0.170303021853673,376.74158207354,2.0151979813076e-53,64.63,0.52,0.1,64.42,0.52,15_7_21,DB,0
KC573,573,Kaga/Cab_F2,24977,64.7864367816092,0.0987675202734058,655.94880384026,3.64716799184025e-60,66.22,0.86,0.16,66.23,0.9,15_7_21,DB,-1
KC574,574,Kaga/Cab_F2,23996,61.6306436781609,0.300238931870599,205.271992190284,4.84798035107081e-46,64.21,1.66,0.31,63.67,3.17,15_7_21,DB,-1
KC575,575,Kaga/Cab_F2,22225,58.8185057471264,0.0830261244104328,708.433714867407,4.22659449410411e-61,62.24,1.96,0.36,62.46,3.77,15_7_21,DB,0
KC576,576,Kaga/Cab_F2,22587,55.8242298850574,0.71443210022082,78.1379082320112,2.55666768133513e-34,61.72,3.84,0.71,59.75,4.9,16_7_21,AU,-1
KC577,577,Kaga/Cab_F2,22514,54.7572222222222,0.959032413840716,57.0963206581636,7.41092798296554e-29,63.79,5.67,1.09,60.5,8.74,16_7_21,AU,-1
KC578,578,Kaga/Cab_F2,24054,53.753,0.686397370308597,78.311780209521,1.99643840863076e-29,54.17,1.65,0.34,53.57,3.62,16_7_21,AU,-1
KC579,579,Kaga/Cab_F2,21526,56.1042298850575,0.199840316088393,280.745301965203,7.58331611491286e-50,58.8,1.62,0.3,58.39,2.04,16_7_21,AU,-1
KC580,580,Kaga/Cab_F2,21534,59.4721379310345,0.213091225769983,279.092382692614,8.94624438174731e-50,64.26,2.78,0.52,63.67,4.59,16_7_21,AU,-1
KC581,581,Kaga/Cab_F2,19835,56.2169195402299,0.0927683269867743,605.992598618756,3.35091645464723e-59,58.96,1.58,0.29,58.69,2.34,16_7_21,AU,-1
KC582,582,Kaga/Cab_F2,21764,62.6779770114943,0.391439109359047,160.121907885303,5.0542919259484e-43,63.59,1.15,0.21,63.82,1.51,16_7_21,AU,NA
KC583,583,Kaga/Cab_F2,22141,60.1022298850575,0.0639498288635335,939.83410046825,1.54552773907518e-64,62.52,1.38,0.26,62.31,2.34,16_7_21,DB,-1
KC584,584,Kaga/Cab_F2,23115,62.8644827586207,0.280139602197218,224.404126605292,4.00466385460732e-47,63.82,0.91,0.17,63.52,0.6,16_7_21,DB,-1
KC585,585,Kaga/Cab_F2,21446,61.3723678160919,0.758579057160335,80.9043793613724,9.69150321224123e-35,62.25,2.05,0.38,62.91,3.55,16_7_21,DB,-1
KC586,586,Kaga/Cab_F2,29300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC587,587,Kaga/Cab_F2,20950,60.4088045977011,0.346488655048043,174.345692759623,4.67488416672557e-44,65.13,2.83,0.53,65.33,5.73,16_7_21,DB,-1
KC588,588,Kaga/Cab_F2,23805,63.7703448275862,0.1032596312707,617.572850520929,1.97240334725447e-59,65.07,0.79,0.15,64.72,0.91,16_7_21,DB,-1
KC589,589,Kaga/Cab_F2,23770,59.7471954022989,0.11702007202406,510.572198161139,4.05942814955084e-57,61.8,1.2,0.22,61.56,2.26,16_7_21,DB,-1
KC590,590,Kaga/Cab_F2,21363,63.0197931034482,0.105572073943102,596.936204335746,5.10802604951102e-59,63.84,0.54,0.1,64.12,1.12,16_7_21,DB,-1
KC591,591,Kaga/Cab_F2,25337,59.9954252873563,0.540205271132574,111.060421831079,1.39864859342743e-38,60.9,1.51,0.28,60.95,2.03,16_7_21,DB,-1
KC592,592,Kaga/Cab_F2,26489,61.4212183908046,0.353018858909996,173.988490531222,4.95094706808535e-44,65.97,2.74,0.51,64.57,5.04,21_7_21,AU,0
KC593,593,Kaga/Cab_F2,24741,66.0385057471264,0.054759983899341,1205.96284083132,1.43626173697788e-67,70.45,2.51,0.47,70.3,4.07,21_7_21,AU,-1
KC594,594,Kaga/Cab_F2,23046,65.5645287356322,0.0525003777202974,1248.83918140429,5.40018593391191e-68,69.51,2.24,0.42,69.55,3.47,21_7_21,AU,-1
KC595,595,Kaga/Cab_F2,17610,68.9827816091954,0.0918192722348962,751.288699312716,8.16231111326032e-62,70.09,0.67,0.12,70.15,0.6,21_7_21,AU,0
KC596,596,Kaga/Cab_F2,23014,68.710091954023,0.0742042355138139,925.959164975588,2.34386920602659e-64,71.26,1.46,0.27,71.36,2.26,21_7_21,AU,-1
KC597,597,Kaga/Cab_F2,23502,63.679816091954,0.108556136289811,586.607245507972,8.32703921526073e-59,65.97,1.33,0.25,66.38,2.34,21_7_21,AU,0
KC598,598,Kaga/Cab_F2,22893,62.7164597701149,0.210449827775316,298.011456854568,1.42666185439232e-50,67.29,2.65,0.49,67.89,5.35,21_7_21,AU,0
KC599,599,Kaga/Cab_F2,25084,69.2535172413793,0.0877322573722793,789.373479215426,2.04419208488302e-62,71.68,1.4,0.26,71.81,2.11,21_7_21,AU,0
KC600,600,Kaga/Cab_F2,20368,61.2219310344827,0.330714077471497,185.120426389346,8.73322966200306e-45,66.05,2.88,0.53,65.03,4.67,21_7_21,AU,-1
KC601,601,Kaga/Cab_F2,23975,57.9612698412698,0.589620115630591,98.302734768947,5.80227284882064e-35,64.58,4.04,0.78,63.67,4.15,21_7_21,DB,0
KC602,602,Kaga/Cab_F2,22093,57.9224827586207,0.224068433398369,258.503537870686,7.64139630977226e-49,63.02,2.95,0.55,62.46,4.38,21_7_21,DB,-1
KC603,603,Kaga/Cab_F2,21831,58.0626436781609,0.645262980687449,89.982914588254,4.98798643281362e-36,62.05,2.83,0.53,60.95,5.35,21_7_21,DB,-1
KC604,604,Kaga/Cab_F2,28377,58.8180689655173,0.455824566674666,129.036636604752,2.11278966271931e-40,63.17,2.74,0.51,62.16,2.86,21_7_21,DB,-1
KC605,605,Kaga/Cab_F2,24450,63.2670804597701,0.159686484690867,396.1955865097,4.92241965726139e-54,68.29,2.88,0.54,67.89,4.37,21_7_21,DB,-1
KC606,606,Kaga/Cab_F2,25963,60.2083448275862,0.242540421526694,248.240455956162,2.37462501357028e-48,64.07,2.28,0.42,64.88,4.45,21_7_21,DB,-1
KC607,607,Kaga/Cab_F2,21375,61.739908045977,0.128657673638255,479.877385468435,2.30321314655481e-56,64.68,1.71,0.32,64.27,2.71,21_7_21,DB,-1
KC608,608,Kaga/Cab_F2,29953,63.5011034482759,0.503971221982149,126.001447460675,4.10984264367873e-40,62.87,1.37,0.25,62.76,2.26,21_7_21,DB,-1
KC609,609,Kaga/Cab_F2,27497,64.4152183908046,0.247484213728703,260.280110073679,6.30841826202735e-49,68.07,2.18,0.4,67.29,4.14,21_7_21,DB,-1
KC610,610,Kaga/Cab_F2,23043,70.8686206896552,0.139871817333768,506.668334197343,5.03257551290408e-57,69.33,0.95,0.18,69.7,1.81,22_7_21,DB,-1
KC611,611,Kaga/Cab_F2,24776,65.3082068965517,0.139501592549126,468.153844720829,4.60325681157575e-56,66.12,0.59,0.11,65.93,0.3,22_7_21,DB,0
KC612,612,Kaga/Cab_F2,19630,64.006091954023,0.253451454577125,252.537875786962,1.46883886393043e-48,65.54,1.1,0.2,65.03,1.44,22_7_21,DB,-1
KC613,613,Kaga/Cab_F2,24735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC614,614,Kaga/Cab_F2,25293,65.6346436781609,0.121291102629498,541.133209734698,7.97292072669032e-58,67.37,1.03,0.19,67.74,1.81,22_7_21,DB,-1
KC615,615,Kaga/Cab_F2,25009,63.8566896551724,0.268854517325492,237.513917528355,8.17497475093603e-48,64.37,0.76,0.14,64.27,1.21,22_7_21,DB,-1
KC616,616,Kaga/Cab_F2,26122,64.6362068965517,0.131668594145085,490.900714146986,1.21952645150229e-56,66.95,1.36,0.25,66.98,2.71,22_7_21,DB,-1
KC617,617,Kaga/Cab_F2,22665,62.9274022988506,0.135917758651007,462.981459695989,6.28272690754801e-56,63.28,0.41,0.08,63.22,0.53,22_7_21,DB,-1
KC618,618,Kaga/Cab_F2,22886,65.1011724137931,0.149681273788745,434.931977567713,3.61434217343476e-55,65.09,0.39,0.07,65.03,0.61,22_7_21,DB,-1
KC619,619,Kaga/Cab_F2,22792,65.3577931034482,0.218297598773495,299.397673042035,1.25286789815736e-50,65.39,0.57,0.11,65.33,0.9,22_7_21,DB,-1
KC620,620,Kaga/Cab_F2,25182,67.9564923076923,0.174154200215078,390.208747327179,3.78380660939727e-47,65.11,1.67,0.33,65.48,3.53,23_8_21,DB,-1
KC621,621,Kaga/Cab_F2,25337,59.7199999999999,0.770693903964888,77.4886108385784,2.95684376565299e-33,68.31,5.26,0.99,71.06,10.55,23_8_21,DB,-1
KC622,622,Kaga/Cab_F2,23588,64.8685287356322,0.138898914860722,467.019694147199,4.92670699126159e-56,65.7,0.6,0.11,65.93,0.83,23_8_21,DB,-1
KC623,623,Kaga/Cab_F2,22053,61.1385517241379,0.0914801669309453,668.325756011016,2.16101953689338e-60,64.62,1.99,0.37,64.57,3.77,23_8_21,DB,-1
KC624,624,Kaga/Cab_F2,23104,62.1066666666667,0.245768140280885,252.704303314847,1.44200360110121e-48,64.6,1.56,0.29,65.18,2.94,23_8_21,DB,-1
KC625,625,Kaga/Cab_F2,22476,58.8811954022989,0.142600742243594,412.909459487362,1.54809000140004e-54,61.33,1.44,0.27,60.8,2.33,23_8_21,DB,-1
KC626,626,Kaga/Cab_F2,23027,61.8693103448276,0.113566059268629,544.786978990634,6.60380263148889e-58,62.07,0.32,0.06,62.01,0.6,23_8_21,DB,-1
KC627,627,Kaga/Cab_F2,22028,64.6034942528736,0.668889023489712,96.5832776202931,6.9155532554499e-37,63.43,1.88,0.35,63.67,3.47,23_8_21,DB,-1
KC628,628,Kaga/Cab_F2,25932,59.8700459770115,0.0972380329576982,615.706058174347,2.14687437989466e-59,61.9,1.18,0.22,62.01,1.43,23_8_21,DB,0
KC629,629,Kaga/Cab_F2,26242,66.5067126436781,0.134945965525728,492.839577564089,1.09210156539011e-56,68.49,1.18,0.22,68.64,1.73,23_8_21,DB,-1
KC630,630,Kaga/Cab_F2,21698,55.1040689655172,0.137256717982551,401.467190644339,3.39996202596477e-54,57.2,1.24,0.23,57.64,2.41,28_8_21,AU,-1
KC631,631,Kaga/Cab_F2,24672,58.0125747126436,0.330979468334625,175.275448367063,4.02857905205347e-44,61.12,1.97,0.36,59.9,2.93,28_8_21,AU,-1
KC632,632,Kaga/Cab_F2,22725,62.6285747126437,0.160189884526972,390.964603648857,7.14121017179293e-54,61.41,0.81,0.15,61.41,1.73,28_8_21,AU,-1
KC633,633,Kaga/Cab_F2,22750,58.2989655172414,0.504920634511483,115.461641954178,4.72181243164975e-39,58.68,1.34,0.25,58.99,1.43,28_8_21,AU,-1
KC634,634,Kaga/Cab_F2,22384,58.6279770114943,0.0465031887861462,1260.73025402852,4.14163903822507e-68,61.65,1.72,0.32,61.71,2.63,28_8_21,AU,-1
KC635,635,Kaga/Cab_F2,21285,56.2868505747126,0.263136920221375,213.907081253968,1.53037057190365e-46,56.62,0.72,0.13,56.43,1.21,28_8_21,AU,0
KC636,636,Kaga/Cab_F2,24624,56.2308965517241,0.195990844142217,286.905731733679,4.13047000417809e-50,58.13,1.19,0.22,58.39,1.65,28_8_21,AU,0
KC637,637,Kaga/Cab_F2,23085,58.3008275862069,0.0948928122034353,614.386129280467,2.27982469391586e-59,59.65,0.8,0.15,59.9,1.44,28_8_21,AU,-1
KC638,638,Kaga/Cab_F2,22259,58.0029655172414,0.344074797780863,168.576617326627,1.19834856015422e-43,61.79,2.33,0.43,62.91,4.45,28_8_21,AU,0
KC639,639,Kaga/Cab_F2,24485,58.1786666666667,0.131377156985855,442.837004555752,2.18287177616837e-55,59.98,1.08,0.2,60.05,2.12,28_8_21,AU,-1
KC640,640,Kaga/Cab_F2,25379,62.5871034482758,0.416034363371119,150.437341139644,2.89381853229277e-42,63.66,1.25,0.23,63.52,2.11,28_8_21,DB,-1
KC641,641,Kaga/Cab_F2,24350,61.93491954023,0.323430592653931,191.4936958561,3.38754494617562e-45,65.38,2.13,0.4,66.38,3.17,28_8_21,DB,-1
KC642,642,Kaga/Cab_F2,24530,60.8291954022988,0.433452678817264,140.336415888073,2.02104409158278e-41,63.47,1.88,0.35,64.27,2.04,28_8_21,DB,-1
KC643,643,Kaga/Cab_F2,24921,61.5001379310345,0.0353509050261875,1739.70476528044,5.02720758211055e-72,64.26,1.57,0.29,64.27,2.57,28_8_21,DB,0
KC644,644,Kaga/Cab_F2,25356,60.9563908045977,0.228181056453495,267.140453077099,3.04565463558901e-49,65.19,2.48,0.46,66.08,3.77,28_8_21,DB,-1
KC645,645,Kaga/Cab_F2,24077,60.6009885057472,0.180337792725737,336.041534000092,4.94580145470356e-52,62.21,1.03,0.19,61.71,0.9,28_8_21,DB,-1
KC646,646,Kaga/Cab_F2,22702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC647,647,Kaga/Cab_F2,25099,61.6828505747126,0.0578636187851039,1066.00402584209,4.54259694377129e-66,63.91,1.27,0.24,63.82,2.12,28_8_21,DB,-1
KC648,648,Kaga/Cab_F2,25884,63.5848965517241,0.287390191645548,221.249362017708,5.95167205557706e-47,68.69,3,0.56,69.4,5.95,28_8_21,DB,0
